State,County,inf_total,inf_mar,inf_apr,inf_may,inf_jun,inf_jul,inf_aug,inf_sep_13,inf_by_pop,death_mar,death_apr,death_may,death_jun,death_jul,death_aug,death_sep,deaths,death_rate_by_pop,Demographics,total_pop,perc_non_white,med_income,perc_below_poverty_level,unemployment,Voting,num_polls,polls_per_person,early_vote_duration,same_day_reg,vra_provision,Election,perc_trump_2020,perc_rep_gov_2020,gov_rep_incumbent_2020,2020_turnout,2020_registered,perc_trump_2016,perc_rep_gov_2016,gov_incumbent_2016,2016_turnout,2016_registered,difference_turnout_2020_minus_2016,difference_trump_perc_2020_minus_2016,difference_gop_gov_perc_2020_minus_2016
Delaware,Kent,2788,34,759,1436,1690,2167,2624,2788,0.0154215,2,26,63,89,107,110,113,113,0.00062505,,180786,0.3273653,53183,0.114,0.109,,75,0.0004297,0,0,0,,0.471,0.46,0,0.6805,459246,0.496,0.481,0,0.62,116201,0.0605,-0.025,-0.021
Delaware,New Castle,9092,197,1734,3758,5065,6794,8190,9092,0.0163803,6,68,170,244,287,300,305,305,0.00054949,,555058,0.3399771,62474,0.136,0.1,,265,0.0004774,0,0,0,,0.307,0.295,0,0.6708,138812,0.326,0.311,0,0.65,403967,0.0208,-0.019,-0.016
Delaware,Sussex,6504,88,2216,4253,4681,5608,6330,6504,0.0277682,2,58,133,176,191,195,197,197,0.00084107,,234225,0.1732073,51046,0.117,0.097,,90,0.0004104,0,0,0,,0.551,0.538,0,0.7051,182539,0.591,0.528,0,0.69,155495,0.0151,-0.04,0.01
Delaware,,,,,,,,,,,,,,,,,,,,,973764,0.308,65627,0.125,0.1,,430,0.0004416,0,0,0,,0.398,0.3863,0,0.6886,739570,0.5309,0.3918,0,0.6557,675663,0.0329,-0.1329,-0.0055
Indiana,Adams,221,1,7,15,46,75,188,221,0.0062472,0,1,1,2,3,3,4,4,0.00011307,,35376,0.0198704,46695,0.116,0.036,,7,0.000199,28,0,0,,0.752,0.667,1,0.73,19780,0.7371,0.644,0,0.69,19482,0.04,0.0149,0.023
Indiana,Allen,5655,37,565,1626,2668,3535,5005,5655,0.0151782,3,55,77,120,167,188,203,203,0.00054486,,372575,0.1936104,49370,0.135,0.056,,120,0.0003248,28,0,0,,0.545,0.585,1,0.64,267870,0.5704,0.548,0,0.55,276407,0.09,-0.0254,0.037
Indiana,Bartholomew,1136,13,253,516,583,731,1077,1136,0.0137729,0,15,38,47,50,58,60,60,0.00072744,,82481,0.1167443,54165,0.101,0.048,,19,0.0002311,28,0,0,,0.619,0.609,1,0.69,53417,0.6353,0.595,0,0.6,55494,0.09,-0.0163,0.014
Indiana,Benton,87,2,8,30,47,59,80,87,0.0100265,-,-,-,-,-,-,-,0,0,,8677,0.028182,48711,0.115,0.042,,7,0.0008085,28,0,0,,0.732,0.687,1,0.69,6015,0.7035,0.632,0,0.62,6129,0.07,0.0285,0.055
Indiana,Blackford,105,1,8,26,38,56,80,105,0.0087405,0,1,2,2,2,2,2,2,0.00016649,,12013,0.030293,39225,0.141,0.064,,2,0.0001651,28,0,0,,0.718,0.631,1,0.66,8213,0.6923,0.568,0,0.56,8976,0.1,0.0257,0.063
Indiana,Boone,947,22,194,332,439,632,862,947,0.0144483,0,23,38,45,49,49,49,49,0.00074759,,65544,0.0612226,67255,0.054,0.025,,10,0.0001558,28,0,0,,0.581,0.617,1,0.72,53840,0.6108,0.599,0,0.67,49294,0.05,-0.0298,0.018
Indiana,Brown,91,3,15,33,38,68,89,91,0.0060409,0,1,1,1,1,2,3,3,0.00019915,,15064,0.0285409,51568,0.101,0.047,,11,0.0007335,28,0,0,,0.643,0.553,1,0.71,12622,0.6313,0.564,0,0.64,12955,0.07,0.0117,-0.011
Indiana,Carroll,265,2,22,93,108,128,255,265,0.0132012,0,1,2,2,2,13,13,13,0.0006476,,20074,0.0246833,50542,0.088,0.042,,13,0.0006509,28,0,0,,0.746,0.639,1,0.69,14009,0.7258,0.622,0,0.62,14338,0.07,0.0202,0.017
